Customer ID,Gender,Age,Product Category,Quantity,Price per Unit
CUST001,Male,34,Beauty,3,50
CUST002,Female,26,Clothing,2,500
CUST003,Male,50,Electronics,1,30
CUST004,Male,37,Clothing,1,500
CUST005,Male,30,Beauty,2,50
CUST006,Female,45,Beauty,1,30
CUST007,Male,46,Clothing,2,25
CUST008,Male,30,Electronics,4,25
CUST009,Male,63,Electronics,2,300
CUST010,Female,52,Clothing,4,50
CUST011,Male,23,Clothing,2,50
CUST012,Male,35,Beauty,3,25
CUST013,Male,22,Electronics,3,500
CUST014,Male,64,Clothing,4,30
CUST015,Female,42,Electronics,4,500
CUST016,Male,19,Clothing,3,500
CUST017,Female,27,Clothing,4,25
CUST018,Female,47,Electronics,2,25
CUST019,Female,62,Clothing,2,25
CUST020,Male,22,Clothing,3,300
CUST021,Female,50,Beauty,1,500
CUST022,Male,18,Clothing,2,50
CUST023,Female,35,Clothing,4,30
CUST024,Female,49,Clothing,1,300
CUST025,Female,64,Beauty,1,50
CUST026,Female,28,Electronics,2,500
CUST027,Female,38,Beauty,2,25
CUST028,Female,43,Beauty,1,500
CUST029,Female,42,Electronics,1,30
CUST030,Female,39,Beauty,3,300
CUST031,Male,44,Electronics,4,300
CUST032,Male,30,Beauty,3,30
CUST033,Female,50,Electronics,2,50
CUST034,Female,51,Clothing,3,50
CUST035,Female,58,Beauty,3,300
CUST036,Male,52,Beauty,3,300
CUST037,Female,18,Beauty,3,25
CUST038,Male,38,Beauty,4,50
CUST039,Male,23,Clothing,4,30
CUST040,Male,45,Beauty,1,50
CUST041,Male,34,Clothing,2,25
CUST042,Male,22,Clothing,3,300
CUST043,Female,48,Clothing,1,300
CUST044,Female,22,Clothing,1,25
CUST045,Female,55,Electronics,1,30
CUST046,Female,20,Electronics,4,300
CUST047,Female,40,Beauty,3,500
CUST048,Male,54,Electronics,3,300
CUST049,Female,54,Electronics,2,500
CUST050,Female,27,Beauty,3,25
CUST051,Male,27,Beauty,3,25
CUST052,Female,36,Beauty,1,300
CUST053,Male,34,Electronics,2,50
CUST054,Female,38,Electronics,3,500
CUST055,Male,31,Beauty,4,30
CUST056,Female,26,Clothing,3,300
CUST057,Female,63,Beauty,1,30
CUST058,Male,18,Clothing,4,300
CUST059,Male,62,Clothing,1,50
CUST060,Male,30,Beauty,3,50
CUST061,Male,21,Beauty,4,50
CUST062,Male,18,Beauty,2,50
CUST063,Male,57,Electronics,2,25
CUST064,Male,49,Clothing,4,25
CUST065,Male,51,Electronics,4,500
CUST066,Female,45,Electronics,1,30
CUST067,Female,48,Beauty,4,300
CUST068,Male,25,Electronics,1,300
CUST069,Female,56,Beauty,3,25
CUST070,Female,43,Clothing,1,300
CUST071,Female,51,Beauty,4,25
CUST072,Female,20,Electronics,4,500
CUST073,Male,29,Electronics,3,30
CUST074,Female,18,Beauty,4,500
CUST075,Male,61,Beauty,4,50
CUST076,Female,22,Electronics,2,50
CUST077,Female,47,Clothing,2,50
CUST078,Female,47,Clothing,3,500
